FIRE_YEAR,LONGITUDE,LATITUDE,intensity
2000,-131.9973,58.7833,1
2000,-131.9357,53.206,2
2000,-131.9333,53.5667,0.01
2000,-131.9087,53.2063,0.8
2000,-131.3424,57.8587,3.4
2000,-131.2217,57.9077,0.3
2000,-130.974,58.0424,0
2000,-130.675,56.73,0.2
2000,-129.7678,55.16,0
2000,-129.5558,48.4567,0.01
2000,-129.2506,56.1427,0.01
2000,-129.1578,59.6695,0.1
2000,-129.151,54.8087,0.4
2000,-129.061,59.6755,3.8
2000,-128.97,54.9738,0.1
2000,-128.9667,54.9667,0
2000,-128.937,55.3201,0.2
2000,-128.654,54.022,0.1
2000,-128.5925,54.3803,0.1
2000,-128.5745,54.5215,0.01
2000,-128.5667,54.5333,0
2000,-128.5333,54.384,0.01
2000,-128.5333,54.5167,0
2000,-128.4853,54.4659,0
2000,-128.4566,54.5862,0.01
2000,-128.4128,54.5774,0
2000,-128.2577,54.7643,0.5
2000,-128.2035,55.4407,5
2000,-128.1758,52.1569,0
2000,-128.15,57.65,9e3
2000,-128.0947,55.305,0.1
2000,-128.0379,55.2123,1.5
2000,-127.8152,55.0942,1.5
2000,-127.8071,55.4974,0.1
2000,-127.7222,55.2925,0.01
2000,-127.6833,55.35,2
2000,-127.6738,50.5974,0.01
2000,-127.6492,55.3818,0.2
2000,-127.6353,55.2558,0.01
2000,-127.6283,55.2528,0.01
2000,-127.5833,55.3583,0.1
2000,-127.524,51.2367,3.7
2000,-127.4512,50.644,3
2000,-127.3915,54.5712,6
2000,-127.3497,55.061,0.01
2000,-127.3392,55.0443,0.01
2000,-127.3352,54.9848,0.15
2000,-127.305,58.9758,0.2
2000,-127.3,54.8833,0.01
2000,-127.2958,54.7437,0
2000,-127.2667,50.5,25
2000,-127.2667,54.8492,0.1
2000,-127.2288,55.6053,0.05
2000,-127.1921,54.8027,0.5
2000,-127.1651,54.8272,0.8
2000,-127.1447,55.2913,0
2000,-127.1293,50.8545,0.01
2000,-127.125,54.8327,0.01
2000,-127.0745,50.5539,0
2000,-127.0667,51.0482,0.5
2000,-127.059,54.702,0.2
2000,-127.051,54.6975,0.01
2000,-127.0285,50.6481,0
2000,-126.9753,54.642,0
2000,-126.9719,54.7759,0.01
2000,-126.9506,50.8549,0.01
2000,-126.9342,50.8628,0
2000,-126.9333,54.5833,0.1
2000,-126.8833,50.0833,4.6
2000,-126.8542,54.6192,0.01
2000,-126.8501,50.931,0.001
2000,-126.82,50.9042,0.01
2000,-126.7928,50.3972,0.75
2000,-126.7851,54.5479,2.5
2000,-126.7638,50.8417,0
2000,-126.7617,54.8408,0.01
2000,-126.7192,54.3984,0.2
2000,-126.6967,52.0714,0.5
2000,-126.68,52.3607,0
2000,-126.675,50.8883,2.5
