year,dollars
2000,1088
2001,646
2002,2474250
2003,99232
2004,1093141
2005,102647
2006,1071704
2007,37012
2008,5402869
2009,3961725
2010,1983140
2011,80000
2012,1854908
2013,NA
2014,NA
2015,10588800
2016,3000
2017,6730625
